Date,Series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,Close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2025-02-24,EQ,100.63,101.72,99.79,100.96,100.97,100.97,100.78,120.36,77.18,9322,941242.34,102
2025-02-25,EQ,100.45,101.84,98.45,100.67,100.12,100.12,100.22,123.89,78.24,8964,897475.68,93
2025-02-26,EQ,100.43,101.5,98.73,100.21,100.13,100.13,100.2,122.25,79.38,10308,1032140.04,80
2025-02-27,EQ,99.97,101.61,98.85,99.49,99.93,99.93,100.09,124.08,75.79,11193,1118516.49,96
2025-02-28,EQ,99.8,100.96,97.9,100.16,99.66,99.66,99.58,120.7,77.05,9464,943182.24,86
2025-03-03,EQ,99.52,100.42,98.66,99.55,99.7,99.7,99.58,124.84,79.51,9412,938376.4,116
2025-03-04,EQ,100.89,102.66,100.58,101.28,101.25,101.25,101.34,120.54,77.95,8486,859207.5,116
2025-03-05,EQ,99.94,100.24,98.63,99.46,99.67,99.67,99.62,122.25,76.74,9139,910884.13,86
2025-03-06,EQ,100.01,100.16,99.5,99.64,99.96,99.96,99.91,122.66,75.59,11038,1103358.48,114
2025-03-07,EQ,99.01,99.46,97.28,99.39,98.79,98.79,98.64,123.42,77.31,9272,915980.88,104
2025-03-10,EQ,99.78,99.81,98.35,99.32,99.29,99.29,99.31,122.58,76.11,9060,899567.4,84
2025-03-11,EQ,100.96,102.33,99.17,100.73,100.81,100.81,100.82,120.24,75.82,10006,1008704.86,89
2025-03-12,EQ,99.61,100.35,98.53,99.96,99.74,99.74,99.56,123.71,77.52,11919,1188801.06,117
2025-03-13,EQ,99.03,100.02,98.74,99.14,99.18,99.18,99.24,120.18,78.88,11675,1157926.5,104
2025-03-14,EQ,100.41,100.83,99.98,100.12,100.41,100.41,100.41,124.74,77.42,8256,828984.96,106
2025-03-17,EQ,100.84,101.1,99.18,100.75,100.47,100.47,100.4,120.08,77.98,10289,1033735.83,86
2025-03-18,EQ,100.34,101.04,99.69,100.22,100.56,100.56,100.41,122.88,77.26,11259,1132205.04,114
2025-03-19,EQ,99.62,101.18,99.31,99.64,99.76,99.76,99.97,121.7,75.47,8270,825015.2,114
2025-03-20,EQ,99.64,101.37,99.62,99.96,100.26,100.26,100.22,122.52,76.7,10390,1041701.4,115
2025-03-21,EQ,99.22,100.54,98.09,98.84,99.03,99.03,99.22,123.86,78.47,11933,1181724.99,109
2025-03-24,EQ,99.33,100.61,97.89,99.44,99.05,99.05,99.22,122.4,79.98,10766,1066372.3,108
2025-03-25,EQ,100.4,101.51,98.53,100.4,100.24,100.24,100.17,121.89,76.29,9280,930227.2,118
